fid,_latitude,_longitude,codigo,localizaca,andar,foto,observacao,Codigo_2,Artista,Título,Data_2,Técnica,Dimensão,icon_url
130,-25.425792200000000,-49.212862899999998,81,BL02,Térreo,094c155d-780b-4a72-86f4-34dd74157c51,,81,Reginaldo Carvalho,UniBrasil,"2001",Tinta óleo sobre tela,"50 x 60 cm (suporte)
70 x 80 ccm (moldura)",./0.png
131,-25.425806500000000,-49.212898600000003,126,BL02,Térreo,7bb630cf-7249-4636-b86d-f020e019f0e5,,126,Carlus Lisboa,Sem título,"2015",Tinta óleo e relevo sobre alumínio,"50 x 80 cm (suporte)
70 x 101 cm (moldura)",./0.png
132,-25.425791700000001,-49.212882999999998,80,BL02,Térreo,ca93814e-e7c8-474b-915b-9f0ba5a2cae4,,80,Reginaldo Carvalho,Universidade Federal do Paraná,"2001",Tinta óleo sobre tela,"60 x 80 cm (suporte)
83 x 103 cm (moldura)",./0.png
133,-25.425782500000000,-49.212883800000000,49,BL02,Térreo,68d2e0a8-713f-496e-a0ca-38543e44a08d,,49,Carlos Novaes,(Abstrato),Sem data,Tinta acrílica sobre tela,"30 x 20 cm (suporte – cada)
61,5 x 41,5 cm
(moldura)",./0.png
134,-25.425755100000000,-49.212920500000003,28,BL02,Térreo,fc04d427-ca75-4dee-b8f6-1d2567c57e36,,28,Hugo Abati,(UniBrasil),Sem data,Reprodução fotográfica em preto e branco sobre papel,29 x 39 cm (suporte) 45 x 55 cm (moldura),./0.png
135,-25.425738299999999,-49.212921500000000,30,BL02,Térreo,0cafa06a-e05e-4b70-8d21-3c4f215edc09,,30,Hugo Abati,(UniBrasil),Sem data,Reprodução fotográfica em preto e branco sobre papel,"29 x 39 cm (suporte)
45 x 55 cm (moldura)",./0.png
136,-25.425693899999999,-49.212946299999999,29,BL02,Térreo,de51bfc8-1a32-4b6d-97e6-f9390cee29e1,,29,Hugo Abati,(UniBrasil),Sem data,Reprodução fotográfica em preto e branco sobre papel,"29 x 39 cm (suporte)
45 x 55 cm (moldura)",./0.png
137,-25.425693400000000,-49.212932000000002,31,BL02,Térreo,253e50d0-d29a-4c68-a1e2-b4a89a5a5e15,,31,Hugo Abati,(UniBrasil),Sem data,Reprodução fotográfica em preto e branco sobre papel,"29 x 39 cm (suporte)
45 x 55 cm (moldura)",./0.png
138,-25.425329300000001,-49.211854500000001,2,EXTERNO,Externo,bd8acb5a-864b-4426-a911-182ed6819e7a,,2,Elizabeth Titton,Bosque,2007 - 2018,Aço policromado e cortado a laser,"300 x 118 x 90
cm",./0.png
139,-25.425296299999999,-49.211978600000002,19,EXTERNO,Externo,51f9ec52-581c-42f7-8e0c-945943d52e46,,19,Tony Reis,Coração,"2015",Escultura em resina,"250 x 255 x 50
cm",./0.png
140,-25.425839300000000,-49.212866300000002,169,BL02,Térreo,df67b058-f58a-491e-8b99-2b346fd65fff,SEM CÓDIGO,,,,,,,./0.png
141,-25.425711499999998,-49.212407900000002,18,EXTERNO,Externo,76b0fbd8-8933-46eb-b36c-d9093d105d76,,18,Tony Reis,Lápis,"2015",Escultura em ferro Fundido,"400 x 250 x
470 cm",./0.png
142,-25.425993099999999,-49.212750200000002,139,BL02,Térreo,ca2c5129-34ad-4b53-bb52-c4e5b2a21713,,139,Autor desconhecido,Sem título,Sem data,Tinta spray sobre concreto,300 x 400 cm,./0.png
143,-25.425781400000002,-49.212871700000001,96,BL02,Térreo,15c95dd1-f1a9-4c42-99b3-9447ae7444ce,,96,Reginaldo de Carvalhos,(UniBrasil),"2006",Tinta óleo sobre tela,"50 x 60 cm (suporte)
68,5 x 78,5 cm
(suporte)",./0.png
144,-25.425764699999998,-49.212894499999997,95,BL02,Térreo,6d8cd14a-4d7a-459c-89c2-cd2848a6b050,,95,Reginaldo de Carvalho,(Dia de chuva),"2006",Tinta óleo sobre tela,"50 x 60 cm (suporte) 68 x 78 cm
(suporte)",./0.png
145,-25.425813000000002,-49.212868299999997,60,BL02,Térreo,7c4da8c5-c134-4c93-98e4-9c8877e90053,,60,Claudio Seto,Ponto Luminoso da Alma,"1994",Tinta acrílica sobre tela,"50 x 50 cm (suporte)
75,5 x 85,5cm
(moldura)",./0.png
146,-25.425803599999998,-49.212879500000000,75,BL02,Térreo,bc6b2f46-5491-4243-94a5-016d2e849f38,,75,Reginaldo Carvalho,Vista da Rua das Flores,"2004",Tinta óleo sobre tela,"92 x 72,5 cm (suporte)
95 x 75,5 cm (moldura)",./0.png
147,-25.426362999999998,-49.214423699999998,1,EXTERNO,Externo,4b3a4527-fcd6-4596-800e-61c00053ec90,,1,Elizabeth Titton,Árvore Passarinho,2007 - 2018,Aço policromado e cortado a laser,"120 x 68,5 x
68,5 cm",./0.png
148,-25.426411600000002,-49.214314500000000,12,EXTERNO,Externo,31a3bd6c-d46a-452d-8196-78391960b4e6,,12,Autor desconhecido,Sem título (vênus de Millus),Sem data,Escultura em concreto policromado,"79,5 x 19 x 21
cm",./0.png
149,-25.426303300000001,-49.214268300000001,155,EXTERNO,Externo,4c2f8e4b-720f-47ea-86e7-21e8633dc1ce,,155,Clècius Coser,Sem título,Sem data,Escultura em mármore,,./0.png
150,-25.425677600000000,-49.212944100000001,134,BL02,Térreo,4641d828-862f-4a5e-aac0-5ce5e27d4fd8,,134,N. Cordeiro,Brasil,"2007","Tinta óleo, tinta acrílica , estopa e
massa plástica sobre tela","150 x 219,5
cm",./0.png
151,-25.425694700000001,-49.212671899999997,57,BL03,3o Andar,a403454e-1a51-4464-8d39-7bd38869a058,,57,Carlos Lisboa,Helena Kolody,"2015",Tinta óleo sobre tela,"60 x 50 cm (suporte)
82 x 71,5 cm (moldura)",./0.png
152,-25.425336500000000,-49.213481399999999,13,EXTERNO,Externo,d80bf3f9-f720-40ce-80da-7613399d401a,,13,Autor desconhecido,Sem título,Sem data,Escultura em concreto policromado,"98 x 27 x 25,5
cm",./0.png
153,-25.426426700000000,-49.214031700000000,10,EXTERNO,Externo,5a185cde-6c3f-4789-820c-e0a10f40994f,,10,Otávio Gomide,Mulheres,"1986",Escultura em bronze,"44 x 26 x 26
cm",./0.png
154,-25.426290600000002,-49.213990699999997,158,EXTERNO,Externo,f240d495-a84a-49b6-82eb-654b4555e4d2,,,,,,,,./0.png
155,-25.425839799999999,-49.214200800000000,137,BL01,1o Andar,90f501d7-c8b1-4001-9e8b-eb4983ce3e78,,137,Autor desconhecido,Sem título,"1950",Vidro policromado,137 x 176 cm,./0.png
156,-25.425920800000000,-49.213592100000000,24,EXTERNO,Externo,36e9a06d-f236-4336-94c1-b37891017446,,24,Luciano Corel Corbellini,(Ascenção),2010?,Escultura em pedra Sabão e aço inox,"183 x 63 x 42
cm",./0.png
157,-25.425801199999999,-49.213629400000002,9,EXTERNO,Externo,6475bd4e-1a5c-475c-b1c2-f50d6842de13,,9,Otávio Gomide,(Mulheres),"1987",Escultura em bronze,"48 x 22 x 21
cm",./0.png
158,-25.425238499999999,-49.213210599999996,11,EXTERNO,Externo,4fad9036-614f-4748-ac46-1e58e4bd977e,,11,Autor desconhecido,Sem título,Sem data,Escultura em concreto policromado,163 x 40Ø,./0.png
